source,target,case_sensitive
attention mechanism,注意力机制,false
self-attention,自注意力,false
cross-attention,交叉注意力,false
multi-head attention,多头注意力,false
causal attention,因果注意力,false
masked attention,掩码注意力,false
transformer,Transformer,true
Transformer,Transformer,true
encoder,编码器,false
decoder,解码器,false
encoder-decoder,编码器-解码器,false
token,token,false
tokenization,分词,false
tokenizer,分词器,false
embedding,嵌入,false
positional encoding,位置编码,false
position embedding,位置嵌入,false
rotary position embedding,旋转位置嵌入,false
RoPE,RoPE,true
ALiBi,ALiBi,true
feed-forward network,前馈网络,false
FFN,FFN,true
MLP,MLP,true
layer normalization,层归一化,false
LayerNorm,LayerNorm,true
batch normalization,批归一化,false
BatchNorm,BatchNorm,true
residual connection,残差连接,false
skip connection,跳跃连接,false
activation function,激活函数,false
ReLU,ReLU,true
GELU,GELU,true
SwiGLU,SwiGLU,true
ResNet,ResNet,true
CNN,CNN,true
RNN,RNN,true
LSTM,LSTM,true
GRU,GRU,true
ViT,ViT,true
Vision Transformer,视觉 Transformer,true
CLIP,CLIP,true
contrastive learning,对比学习,false
representation learning,表征学习,false
feature extraction,特征提取,false
feature extractor,特征提取器,false
backbone,骨干网络,false
vision backbone,视觉骨干网络,false
language model,语言模型,false
large language model,大语言模型,false
LLM,LLM,true
small language model,小语言模型,false
SLM,SLM,true
foundation model,基础模型,false
multimodal model,多模态模型,false
multimodal large language model,多模态大语言模型,false
MLLM,MLLM,true
vision-language model,视觉-语言模型,false
VLM,VLM,true
vision-language-action model,视觉-语言-动作模型,false
Vision-Language-Action,视觉-语言-动作,true
VLA,VLA,true
vision-language-action policy,视觉-语言-动作策略,false
policy,策略,false
policy network,策略网络,false
action prediction,动作预测,false
action head,动作头,false
action decoder,动作解码器,false
action encoder,动作编码器,false
action chunk,动作片段,false
action sequence,动作序列,false
action space,动作空间,false
observation space,观测空间,false
state space,状态空间,false
latent space,潜空间,false
latent representation,潜在表征,false
representation,表征,false
pretraining,预训练,false
pre-train,预训练,false
fine-tuning,微调,false
finetuning,微调,false
post-training,后训练,false
mid-training,中间训练,false
instruction tuning,指令微调,false
supervised fine-tuning,监督微调,false
SFT,SFT,true
reinforcement learning,强化学习,false
RL,RL,true
reinforcement learning from human feedback,基于人类反馈的强化学习,false
RLHF,RLHF,true
reinforcement learning from AI feedback,基于 AI 反馈的强化学习,false
RLAIF,RLAIF,true
preference learning,偏好学习,false
